Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
((....).(*).(*)),((....).(...).(...)),(???????(...)?(...)),undesignable,0.0138,1,['(.......(*).(*))']
(....(.(*)(*)).),(....(.(...)(...)).),(??????(...)(...)??),undesignable,0.0205,1,['(......(*)(*)..)']
(..((*)(*)(*)..)),(..((...)(...)(...)..)),(???(...)(...)(...)???),undesignable,0.0017,1,['(...(*)(*)(*)...)']
(((*)(*))((*))(*)),(((...)(...))((...))(...)),(?(...)(...)??(...)?(...)),undesignable,0.1141,1,['(.(*)(*)..(*).(*))']
(.((.((*)))..)),(.((.((...)))..)),(?????(...)?????),undesignable,0.0474,1,['(.(..((*))...))']
((...)..((*).)),((...)..((...).)),(????????(...)??),undesignable,1.8033,1,['(........(*)..)']
(((...)...(*))),(((...)...(...))),(?????????(...)?),undesignable,1.2489,1,['((........(*)))']
((..((*)..).)),((..((...)..).)),(????(...)?????),undesignable,2.2485,1,['((...(*)....))']
(....(*)((*)..)),(....(...)((...)..)),(????(...)?(...)???),undesignable,0.0027,1,['(....(*).(*)...)']
(..((*)..(*).)),(..((...)..(...).)),(???(...)??(...)??),undesignable,0.0016,1,['(...(*)..(*)..)']
(..(*)..((*)..)),(..(...)..((...)..)),(??(...)???(...)???),undesignable,0.0017,1,['(..(*)...(*)...)']
((((*))(*).).(*)),((((...))(...).).(...)),(??(...)?(...)???(...)),undesignable,0.0503,1,['(..(*).(*)...(*))']
(((*).(*).)....),(((...).(...).)....),(?(...)?(...)??????),undesignable,0.0016,1,['(.(*).(*)......)']
(((*))(.(.(*)))),(((...))(.(.(...)))),(?(...)?????(...)??),undesignable,1.1843,11,"['(.(*).....(*)..)', '(((*))((..(*))))', '(((*)).((.(*))))', '(((*))..(.(*)).)', '(((*))...((*)).)', '(((*))...((*).))', '(((*))....(*)..)', '(((*)...(.(*))))', '(.(*)((...(*))))', '(((*))..(((*))))', '(((*))..(.(*).))']"
(.(.(..(*))(*))),(.(.(..(...))(...))),(??????(...)?(...)?),undesignable,0.1867,1,['(......(*).(*).)']
((*)(...)(*)...),((...)(...)(...)...),((...)?????(...)???),undesignable,0.0057,1,['((*).....(*)...)']
(...((.(*)).).),(...((.(...)).).),(??????(...)????),undesignable,0.3844,1,['(....(.(*))...)']
((*)(.((*))...)),((...)(.((...))...)),((...)???(...)?????),undesignable,0.8527,1,['((*)..((*))....)']
((...)(.(*)).),((...)(.(...)).),(???????(...)??),undesignable,0.4463,1,['(.......(*)..)']
((...(*)..)...),((...(...)..)...),(????(...)??????),undesignable,0.0729,1,['(....(*)......)']
(.(*)(...(*))..),(.(...)(...(...))..),(?(...)????(...)???),undesignable,0.0016,1,['(.(*)....(*)...)']
(.(((...))..)),(.(((...))..)),(????????????),undesignable,0.1812,1,['(..((...))...)']
(((....)(*)(*))),(((....)(...)(...))),(???????(...)(...)?),undesignable,1.3849,1,['((......(*)(*)))']
((.(*)(*).(*))(*)),((.(...)(...).(...))(...)),(??(...)(...)?(...)?(...)),undesignable,0.0046,1,['(..(*)(*).(*).(*))']
(.(.(*)).(...)),(.(.(...)).(...)),(???(...)???????),undesignable,1.9078,1,['(...(*).......)']
(.(...)(*).(*).),(.(...)(...).(...).),(??????(...)?(...)?),undesignable,0.0038,1,['(......(*).(*).)']
(..(..(*)...)),(..(..(...)...)),(?????(...)????),undesignable,0.0752,1,['(.....(*)....)']
(((*)..).....),(((...)..).....),(?(...)????????),undesignable,0.0015,1,['(.(*)........)']
(.(*)((*)((*)).)),(.(...)((...)((...)).)),(?(...)?(...)?(...)???),undesignable,0.0756,1,['(.(*).(*).(*)...)']
(((...)(*)).(*)),(((...)(...)).(...)),(??????(...)??(...)),undesignable,0.1241,1,['(......(*)..(*))']
(..((*)....).),(..((...)....).),(???(...)??????),undesignable,0.0186,1,['(...(*)......)']
((.(.(*)(*)))..),((.(.(...)(...)))..),(????(...)(...)????),undesignable,0.0086,1,['(....(*)(*)....)']
((.(.(*)))(*)..),((.(.(...)))(...)..),(????(...)??(...)??),undesignable,0.1243,2,"['(....(*)..(*)..)', '(..(.(*).)(*)..)']"
(((*)(...).)(*)),(((...)(...).)(...)),(?(...)???????(...)),undesignable,0.7445,1,['(.(*).......(*))']
((((*))(....))),((((...))(....))),(??(...)????????),undesignable,1.5121,1,['((((*))......))']
((((*))(*)..)..),((((...))(...)..)..),(??(...)?(...)?????),undesignable,0.3928,1,['(.((*))(*).....)']
(.(...).((*).)),(.(...).((...).)),(????????(...)??),undesignable,1.8201,1,['(........(*)..)']
(((*)(*)(..(*)))),(((...)(...)(..(...)))),(?(...)(...)???(...)??),undesignable,0.785,1,['(((*)(*)...(*).))']
(((.((*))).)..),(((.((...))).)..),(????(...)??????),undesignable,0.2316,1,['(...((*)).....)']
(..(..(*)..(*))),(..(..(...)..(...))),(?????(...)??(...)?),undesignable,0.0017,1,['(.....(*)..(*).)']
(((*)).((*)(*))),(((...)).((...)(...))),(?(...)???(...)(...)?),undesignable,0.0716,1,['(.(*)...(*)(*).)']
(...(..(*)(*))),(...(..(...)(...))),(??????(...)(...)?),undesignable,0.0017,1,['(......(*)(*).)']
((.(*)((*)..))),((.(...)((...)..))),(??(...)?(...)????),undesignable,0.3879,1,['((.(*).(*)...))']
(((.((*)..))).),(((.((...)..))).),(????(...)??????),undesignable,0.6337,1,['(((..(*)...)).)']
((*)(.(.(*)))..),((...)(.(.(...)))..),((...)????(...)????),undesignable,0.0847,2,"['((*)....(*)....)', '((*)..(.(*).)..)']"
((*)(....)..(*)),((...)(....)..(...)),((...)????????(...)),undesignable,0.015,1,['((*)........(*))']
(.(*).(...)),(.(...).(...)),(?(...)??????),undesignable,0.0757,1,['(.(*)......)']
(..((*)..)(*).),(..((...)..)(...).),(???(...)???(...)?),undesignable,0.0016,1,['(...(*)...(*).)']
(((....(*).).)),(((....(...).).)),(??????(...)????),undesignable,0.8313,1,['((.....(*)...))']
(..((*)(*)(*))),(..((...)(...)(...))),(???(...)(...)(...)?),undesignable,0.0034,1,['(...(*)(*)(*).)']
((.(.....))..),((.(.....))..),(????????????),undesignable,0.0048,1,['(............)']
((...)(.(*).).),((...)(.(...).).),(???????(...)???),undesignable,1.8635,1,['(.......(*)...)']
(((....)..).),(((....)..).),(???????????),undesignable,0.0837,1,['((........).)']
(((*)(*).).....),(((...)(...).).....),(?(...)(...)???????),undesignable,0.0016,1,['(.(*)(*).......)']
(..(.((*).)..)),(..(.((...).)..)),(?????(...)?????),undesignable,0.4684,1,['(.....(*).....)']
(((((*)..)..))),(((((...)..)..))),(???(...)???????),undesignable,0.607,1,['(((.(*).....)))']
(.(*)..(...)(*)),(.(...)..(...)(...)),(?(...)???????(...)),undesignable,0.0039,1,['(.(*).......(*))']
((..(...))(*)),((..(...))(...)),(?????????(...)),undesignable,0.0292,1,['(.........(*))']
((((*)).(*))(*).),((((...)).(...))(...).),(??(...)??(...)?(...)?),undesignable,0.0701,1,['(..(*)..(*).(*).)']
(.(.((*)..))..),(.(.((...)..))..),(????(...)??????),undesignable,0.1164,1,['(.(..(*)...)..)']
(..((*)(*)..)),(..((...)(...)..)),(???(...)(...)???),undesignable,0.0016,1,['(...(*)(*)...)']
(.(*)(..((*)))),(.(...)(..((...)))),(?(...)????(...)??),undesignable,0.0209,1,['(.(*)...((*)).)']
((*)(.(*)..(*))),((...)(.(...)..(...))),((...)??(...)??(...)?),undesignable,0.0024,1,['((*)..(*)..(*).)']
((.(....))(*)),((.(....))(...)),(?????????(...)),undesignable,0.1152,1,['(.........(*))']
((.(((*))))...),((.(((...))))...),(????(...)??????),undesignable,0.5734,1,['(..(((*)))....)']
(.(..(*))(.(*))),(.(..(...))(.(...))),(????(...)???(...)?),undesignable,0.1797,1,['(....(*)...(*).)']
((*)((*)(*).)...),((...)((...)(...).)...),((...)?(...)(...)?????),undesignable,0.0018,1,['((*).(*)(*).....)']
(((*))(*)((*)..)),(((...))(...)((...)..)),(?(...)?(...)?(...)???),undesignable,0.8219,1,['(((*))(*).(*)...)']
(.(.(.(*))).(*)),(.(.(.(...))).(...)),(?????(...)???(...)),undesignable,0.0856,4,"['(.....(*)...(*))', '(((.(.(*))))(*))', '(((...(*))).(*))', '(...(.(*).).(*))']"
(..((*)..(*))),(..((...)..(...))),(???(...)??(...)?),undesignable,0.0023,1,['(...(*)..(*).)']
(.(((...)(*)))),(.(((...)(...)))),(????????(...)??),undesignable,0.9283,1,['(.((.....(*))))']
((*)(.(((*)).))),((...)(.(((...)).))),((...)????(...)????),undesignable,0.1739,1,['((*)...((*))...)']
(((..(*))...)),(((..(...))...)),(????(...)?????),undesignable,0.0091,1,['((...(*)....))']
(.(*)((*)(*))...),(.(...)((...)(...))...),(?(...)?(...)(...)????),undesignable,0.0024,1,['(.(*).(*)(*)....)']
(((*)(...)...)),(((...)(...)...)),(?(...)?????????),undesignable,1.0808,1,['(((*)........))']
((....)(*)(*)..),((....)(...)(...)..),(??????(...)(...)??),undesignable,0.0214,1,['(......(*)(*)..)']
(.((*)(.(*)(*)))),(.((...)(.(...)(...)))),(??(...)??(...)(...)??),undesignable,0.0514,1,['(..(*)..(*)(*)..)']
((...)(*).(*).),((...)(...).(...).),(?????(...)?(...)?),undesignable,0.0055,1,['(.....(*).(*).)']
((.(*)(*).).(*)),((.(...)(...).).(...)),(??(...)(...)???(...)),undesignable,0.0014,1,['(..(*)(*)...(*))']
((*)((*)(...))),((...)((...)(...))),((...)?(...)??????),undesignable,0.1888,1,['((*).(*)......)']
((*)(.((*).(*)))),((...)(.((...).(...)))),((...)???(...)?(...)??),undesignable,0.0186,1,['((*)...(*).(*)..)']
((*)((*)..(*)(*))),((...)((...)..(...)(...))),((...)?(...)??(...)(...)?),undesignable,0.0038,1,['((*).(*)..(*)(*).)']
((.(..(...)))),((.(..(...)))),(????????????),undesignable,0.0479,1,['((.(.......)))']
((*)(*)(*)((*)..)),((...)(...)(...)((...)..)),((...)(...)(...)?(...)???),undesignable,0.0029,1,['((*)(*)(*).(*)...)']
((..(*)(*).).(*)),((..(...)(...).).(...)),(???(...)(...)???(...)),undesignable,0.0013,1,['(...(*)(*)...(*))']
(.(*)((*)...)),(.(...)((...)...)),(?(...)?(...)????),undesignable,0.0023,1,['(.(*).(*)....)']
((((*).)(...))),((((...).)(...))),(??(...)????????),undesignable,0.9897,1,['((((*).).....))']
((.....).....),((.....).....),(????????????),undesignable,0.0021,1,['(............)']
(.(((...)..))),(.(((...)..))),(????????????),undesignable,0.1692,1,['(.((.......)))']
((...).((*))),((...).((...))),(???????(...)?),undesignable,0.383,1,['(......((*)))']
(...(.(*)(*))(*)),(...(.(...)(...))(...)),(?????(...)(...)?(...)),undesignable,0.0025,1,['(.....(*)(*).(*))']
((...((*).)).),((...((...).)).),(?????(...)????),undesignable,0.0077,1,['(.....(*)....)']
((....(*))(*)..),((....(...))(...)..),(?????(...)?(...)??),undesignable,0.0021,1,['(.....(*).(*)..)']
((((...).).).),((((...).).).),(????????????),undesignable,0.1063,1,['(............)']
((....)(.(*).)),((....)(.(...).)),(????????(...)??),undesignable,2.0004,1,['(......(.(*).))']
((*)(.(*)(*))..),((...)(.(...)(...))..),((...)??(...)(...)???),undesignable,0.0018,1,['((*)..(*)(*)...)']
(((*).(.(*)))..),(((...).(.(...)))..),(?(...)???(...)????),undesignable,0.1817,1,['(.(*)...(*)....)']
(.((*)(*).)(*)(*)),(.((...)(...).)(...)(...)),(??(...)(...)??(...)(...)),undesignable,0.002,1,['(..(*)(*)..(*)(*))']
(((*).)((*)(*).)),(((...).)((...)(...).)),(?(...)???(...)(...)??),undesignable,0.0492,1,['(.(*)...(*)(*)..)']
((*)..(...)(*)),((...)..(...)(...)),((...)???????(...)),undesignable,0.0039,1,['((*).......(*))']
(.(*).((*)...).),(.(...).((...)...).),(?(...)??(...)?????),undesignable,0.0012,1,['(.(*)..(*).....)']
(.((*)..)(*).),(.((...)..)(...).),(??(...)???(...)?),undesignable,0.0016,1,['(..(*)...(*).)']
(((.(*))(*).)(*)),(((.(...))(...).)(...)),(???(...)?(...)??(...)),undesignable,0.2817,1,['(...(*).(*)..(*))']
((...)....),((...)....),(?????????),undesignable,0.0031,1,['(.........)']
((..(*))(*)),((..(...))(...)),(???(...)?(...)),undesignable,0.0022,1,['(...(*).(*))']
((*)..((.(*)).)),((...)..((.(...)).)),((...)?????(...)???),undesignable,0.1233,4,"['((*).....(*)...)', '((*)..(..(*)..))', '((*)...(((*).)))', '((*)..((.(*))).)']"
(..((..(*)).)),(..((..(...)).)),(??????(...)???),undesignable,0.0073,1,['(......(*)...)']
((((*)(*).).).),((((...)(...).).).),(??(...)(...)?????),undesignable,0.1226,3,"['(..(*)(*).....)', '((((*)(*)))...)', '(.((*)(*)...).)']"
((*)..((*)...)),((...)..((...)...)),((...)???(...)????),undesignable,0.0018,1,['((*)...(*)....)']
(.(((*).(*).).)),(.(((...).(...).).)),(???(...)?(...)????),undesignable,0.0083,1,['(...(*).(*)....)']
(((*)).((*)(*)).),(((...)).((...)(...)).),(?(...)???(...)(...)??),undesignable,0.2938,1,['(.(*)...(*)(*)..)']
(.(...)(...)),(.(...)(...)),(???????????),undesignable,1.1568,1,['(...........)']
((.(*))(*)(.(*))),((.(...))(...)(.(...))),(??(...)?(...)??(...)?),undesignable,2.9543,7,"['(..(*).(*)..(*).)', '((.(*))(*).((*)))', '((.(*))(*)..(*).)', '(.((*))(*)(.(*)))', '(..(*).(*)(.(*)))', '((((*))(*)..(*)))', '((.(*)((*)).(*)))']"
((*)..((*)..)..),((...)..((...)..)..),((...)???(...)?????),undesignable,0.0056,1,['((*)...(*).....)']
(.((*)(((*)).))),(.((...)(((...)).))),(??(...)??(...)????),undesignable,3.7467,22,"['(..(*)..(*)....)', '(.((*)(((*).))))', '(.((*)(((*))).))', '(.((*).((*))..))', '((((*)(((*))))))', '((((*))((*)).).)', '((((*))((*))..))', '((((*).((*)))).)', '((((*).((*)).)))', '((.(*)(((*)))).)', '((.(*)(((*))).))', '((.(*))((*))...)', '((.(*).((*)).).)', '((.(*).((*))..))', '(.((*)(((*)))).)', '(.((*))((*))...)', '(.((*).((*)).).)', '(..(*)(((*)))..)', '(..(*).((*))...)', '((((*)))(*)....)', '((.(*).)(*)....)', '(..(*)(((*)).).)']"
((...)..(*)(*).),((...)..(...)(...).),(???????(...)(...)?),undesignable,0.0037,1,['(.......(*)(*).)']
((.(*).(*))....),((.(...).(...))....),(??(...)?(...)?????),undesignable,0.0025,1,['(..(*).(*).....)']
(...((....).)),(...((....).)),(????????????),undesignable,0.0711,1,['(............)']
(..((.(*))..).),(..((.(...))..).),(?????(...)?????),undesignable,0.1141,1,['(.....(*).....)']
((.(*)(*)...)(*)),((.(...)(...)...)(...)),(??(...)(...)????(...)),undesignable,0.0018,1,['(..(*)(*)....(*))']
(.(...)((*)..)),(.(...)((...)..)),(???????(...)???),undesignable,0.4566,1,['(.......(*)...)']
(.((....)..)),(.((....)..)),(???????????),undesignable,0.0819,1,['(.(........))']
((.(...).)(*)),((.(...).)(...)),(?????????(...)),undesignable,0.4629,1,['(.........(*))']
(.((...).)...),(.((...).)...),(????????????),undesignable,0.2783,1,['(............)']
(((...)..(*).)),(((...)..(...).)),(????????(...)??),undesignable,5.9699,1,['((.......(*).))']
(.(*)(*)..(...)),(.(...)(...)..(...)),(?(...)(...)???????),undesignable,0.0041,1,['(.(*)(*).......)']
((...(...))),((...(...))),(??????????),undesignable,0.0194,1,['((........))']
((.(*).(...))),((.(...).(...))),(??(...)???????),undesignable,2.5598,1,['((.(*)......))']
((((*)(*))(*)(*))),((((...)(...))(...)(...))),(??(...)(...)?(...)(...)?),undesignable,0.1195,1,['(..(*)(*).(*)(*).)']
((*).((*)(*)..).),((...).((...)(...)..).),((...)??(...)(...)????),undesignable,0.0012,1,['((*)..(*)(*)....)']
((..(((*).))).),((..(((...).))).),(?????(...)?????),undesignable,0.1953,1,['(...(((*).))..)']
((...).(*).(*)),((...).(...).(...)),(??????(...)?(...)),undesignable,0.0042,1,['(......(*).(*))']
((..((*)(*)))..),((..((...)(...)))..),(????(...)(...)????),undesignable,0.0125,1,['(....(*)(*)....)']
(.(((*).(*))..)),(.(((...).(...))..)),(???(...)?(...)????),undesignable,0.0121,1,['(...(*).(*)....)']
(((*)((*)(*).))),(((...)((...)(...).))),(?(...)?(...)(...)???),undesignable,0.0129,1,['(.(*).(*)(*)...)']
((*).(*).(....)),((...).(...).(....)),((...)?(...)???????),undesignable,0.0146,1,['((*).(*).......)']
(...(.((*))..)),(...(.((...))..)),(??????(...)????),undesignable,1.6885,1,['(.....((*))...)']
(((..((*))).).),(((..((...))).).),(?????(...)?????),undesignable,0.0529,1,['((...((*))..).)']
((*)((..(*)(*)))),((...)((..(...)(...)))),((...)????(...)(...)??),undesignable,0.013,1,['((*)....(*)(*)..)']
(.(...(*))(*)(*)),(.(...(...))(...)(...)),(?????(...)?(...)(...)),undesignable,0.0019,1,['(.....(*).(*)(*))']
(.(..(*))(*)(*).),(.(..(...))(...)(...).),(????(...)?(...)(...)?),undesignable,0.0018,1,['(....(*).(*)(*).)']
((...)....(*).),((...)....(...).),(?????????(...)?),undesignable,0.2989,1,['(.........(*).)']
((((*).)..).(*)),((((...).)..).(...)),(??(...)??????(...)),undesignable,0.0082,1,['(..(*)......(*))']
((*)(*)(((*))..)),((...)(...)(((...))..)),((...)(...)??(...)????),undesignable,0.0309,1,['((*)(*).((*))...)']
((*)(((*)(*))..)),((...)(((...)(...))..)),((...)??(...)(...)????),undesignable,0.0193,1,['((*)..(*)(*)....)']
(...(...(*))(*)),(...(...(...))(...)),(???????(...)?(...)),undesignable,0.0017,1,['(.......(*).(*))']
((.....(*).).),((.....(...).).),(??????(...)???),undesignable,0.0187,1,['(......(*)...)']
(((*)(*)..)....),(((...)(...)..)....),(?(...)(...)???????),undesignable,0.0016,1,['(.(*)(*).......)']
((.(*))((*)(*))),((.(...))((...)(...))),(??(...)??(...)(...)?),undesignable,0.0717,1,['(..(*)..(*)(*).)']
((*)((*).(*).(*))),((...)((...).(...).(...))),((...)?(...)?(...)?(...)?),undesignable,0.0036,1,['((*).(*).(*).(*).)']
((((*).)(*).)..),((((...).)(...).)..),(??(...)??(...)????),undesignable,0.1774,1,['(..(*)..(*)....)']
(.(...)(*)(*).),(.(...)(...)(...).),(??????(...)(...)?),undesignable,0.0039,1,['(......(*)(*).)']
((*)((.(*).)(*))),((...)((.(...).)(...))),((...)???(...)??(...)?),undesignable,0.2802,1,['((*)...(*)..(*).)']
((*)((((*)))(*))),((...)((((...)))(...))),((...)???(...)??(...)?),undesignable,0.7054,1,['((*).(((*)))(*).)']
((...(*))((*)).),((...(...))((...)).),(????(...)??(...)??),undesignable,0.2769,1,['(....(*).((*)).)']
((...).((*)).),((...).((...)).),(???????(...)??),undesignable,2.3498,1,['(......((*)).)']
((.(..(*).))..),((.(..(...).))..),(?????(...)?????),undesignable,0.1112,1,['(.....(*).....)']
((((*)(...)).)),((((...)(...)).)),(??(...)????????),undesignable,0.2941,1,['((((*).....).))']
(((*).(*)).(*)),(((...).(...)).(...)),(?(...)?(...)??(...)),undesignable,0.0024,1,['(.(*).(*)..(*))']
((...(...))(*)),((...(...))(...)),(??????????(...)),undesignable,0.0314,1,['(..........(*))']
(.(*)(.(*)((*)))),(.(...)(.(...)((...)))),(?(...)??(...)?(...)??),undesignable,0.0724,1,['(.(*)..(*).(*)..)']
((.((*)..(*))).),((.((...)..(...))).),(???(...)??(...)???),undesignable,0.1806,4,"['(...(*)..(*)...)', '(..((*)..(*))..)', '(.(((*)..(*).)))', '(.(((*)..(*))).)']"
((...)(*)(*)(*)),((...)(...)(...)(...)),(?????(...)(...)(...)),undesignable,0.0064,1,['(.....(*)(*)(*))']
(((*).)(...(*))),(((...).)(...(...))),(?(...)??????(...)?),undesignable,0.0463,1,['(.(*)......(*).)']
((*).(....(*).)),((...).(....(...).)),((...)??????(...)??),undesignable,0.0204,1,['((*)......(*)..)']
(.((...).(*))),(.((...).(...))),(????????(...)?),undesignable,0.455,1,['(........(*).)']
((.(..(*)).)..),((.(..(...)).)..),(?????(...)?????),undesignable,0.1134,1,['(.....(*).....)']
(....((*).)),(....((...).)),(?????(...)??),undesignable,0.021,3,"['(.....(*)..)', '((...((*))))', '(....((*)).)']"
(...(.(*)(*)(*))),(...(.(...)(...)(...))),(?????(...)(...)(...)?),undesignable,0.0028,1,['(.....(*)(*)(*).)']
(((*)...(*))(*).),(((...)...(...))(...).),(?(...)???(...)?(...)?),undesignable,0.0034,1,['(.(*)...(*).(*).)']
(...(((*))(*).)),(...(((...))(...).)),(?????(...)?(...)??),undesignable,0.2688,1,['(....((*))(*)..)']
(...((*)(*)(*).)),(...((...)(...)(...).)),(????(...)(...)(...)??),undesignable,0.0031,1,['(....(*)(*)(*)..)']
((*).(.((*)(*)))),((...).(.((...)(...)))),((...)????(...)(...)??),undesignable,0.0133,1,['((*)....(*)(*)..)']
((*)((.((*))).)),((...)((.((...))).)),((...)????(...)????),undesignable,0.1735,6,"['((*)....(*)....)', '((*)((.((*)).)))', '((*)(..((*))..))', '((*)((.((*)))).)', '((*).(.((*)))..)', '((*)...((*))...)']"
(((*)(.(*)...))),(((...)(.(...)...))),(?(...)??(...)?????),undesignable,0.9006,1,['(((*)..(*)....))']
((.((...)(*)))),((.((...)(...)))),(????????(...)??),undesignable,0.2565,1,['((.(.....(*))))']
((..((*).).)(*)),((..((...).).)(...)),(????(...)????(...)),undesignable,0.7198,1,['(....(*)....(*))']
((...(*))(*)..),((...(...))(...)..),(????(...)?(...)??),undesignable,0.0023,1,['(....(*).(*)..)']
(.....(..(*))),(.....(..(...))),(????????(...)?),undesignable,0.0015,1,['(........(*).)']
((.(.(*)..))..),((.(.(...)..))..),(????(...)??????),undesignable,0.1127,1,['(....(*)......)']
(..(*)(...)(*).),(..(...)(...)(...).),(??(...)?????(...)?),undesignable,0.0062,1,['(..(*).....(*).)']
((*).((*)(*)...)),((...).((...)(...)...)),((...)??(...)(...)????),undesignable,0.0017,1,['((*)..(*)(*)....)']
((.(*)(*).)(*).),((.(...)(...).)(...).),(??(...)(...)??(...)?),undesignable,0.0017,1,['(..(*)(*)..(*).)']
(.(*)((*).(*))(*)),(.(...)((...).(...))(...)),(?(...)?(...)?(...)?(...)),undesignable,0.0035,1,['(.(*).(*).(*).(*))']
(.((.(*)).)...),(.((.(...)).)...),(????(...)??????),undesignable,100.7581,28,"['(....(*)......)', '(.(.((*)).)...)', '(.(..(*)..)...)', '((((((*)).)).))', '(..(((*)).)...)', '((((((*)).))).)', '((((((*).))).))', '((((.(*)..)).))', '(((.((*)).))..)', '(((..(*)..))..)', '(((..(*)..)..))', '((.(((*)).).).)', '((.(((*)).)..))', '((...(*).....))', '(.((((*)).))..)', '(..(((*))..)..)', '(..(((*).))...)', '(..(.(*)...)..)', '((((((*).)))).)', '((((.(*)..))).)', '(((.((*))..)).)', '((.(((*).)).).)', '((.(((*).))..))', '((.(.(*)..).).)', '((..((*))....))', '(.((((*).)))..)', '(.((.(*)..))..)', '(.((.(*).))...)']"
(...(.....)(*)),(...(.....)(...)),(??????????(...)),undesignable,0.0205,1,['(..........(*))']
((..(*).)(...)),((..(...).)(...)),(???(...)???????),undesignable,1.827,1,['(...(*).......)']
(.(.((*)(*).))),(.(.((...)(...).))),(????(...)(...)???),undesignable,0.008,1,['(....(*)(*)...)']
(.(...(*))..),(.(...(...))..),(?????(...)???),undesignable,0.0203,1,['(.....(*)...)']
(((...)(*))(*)),(((...)(...))(...)),(??????(...)?(...)),undesignable,0.1745,1,['(......(*).(*))']
(...(*)(...(*))),(...(...)(...(...))),(???(...)????(...)?),undesignable,0.0023,1,['(...(*)....(*).)']
((*)(((*)(*)).)),((...)(((...)(...)).)),((...)??(...)(...)???),undesignable,0.0184,1,['((*)..(*)(*)...)']
(...(*)(....).),(...(...)(....).),(???(...)???????),undesignable,1.2298,1,['(...(*).......)']
(...(.(*).(*))),(...(.(...).(...))),(?????(...)?(...)?),undesignable,0.0016,1,['(.....(*).(*).)']
((*)(....(*).).),((...)(....(...).).),((...)?????(...)???),undesignable,0.0204,1,['((*).....(*)...)']
(....(...)..),(....(...)..),(???????????),undesignable,0.1835,1,['(...........)']
(((*).)(.(*)..)),(((...).)(.(...)..)),(?(...)????(...)???),undesignable,8.8619,5,"['(.(*)....(*)...)', '(((*)).(.(*)..))', '(((*))...(*)...)', '(((*)....(*)..))', '(.(*).(..(*)..))']"
(.(....).(*)(*)),(.(....).(...)(...)),(????????(...)(...)),undesignable,0.0147,1,['(........(*)(*))']
((...((*)))...),((...((...)))...),(?????(...)?????),undesignable,0.0022,1,['(.....(*).....)']
((.(.(*)(*))).),((.(.(...)(...))).),(????(...)(...)???),undesignable,0.12,4,"['(....(*)(*)...)', '(..(.(*)(*))..)', '(.((.(*)(*).)))', '(((..(*)(*))).)']"
(.(*).((*)((*)))),(.(...).((...)((...)))),(?(...)??(...)?(...)??),undesignable,0.0122,1,['(.(*)..(*).(*)..)']
((((*).).)(*)),((((...).).)(...)),(??(...)????(...)),undesignable,0.012,1,['(..(*)....(*))']
(.(((*)..).(*))),(.(((...)..).(...))),(???(...)????(...)?),undesignable,0.1772,1,['(...(*)....(*).)']
(((*))(...)(*).),(((...))(...)(...).),(?(...)??????(...)?),undesignable,0.7918,1,['(((*)).....(*).)']
((*).((*)..).(*)),((...).((...)..).(...)),((...)??(...)????(...)),undesignable,0.0012,1,['((*)..(*)....(*))']
(..(.(*)((*)))),(..(.(...)((...)))),(????(...)?(...)??),undesignable,0.3576,1,['(....(*)((*)).)']
((*)(((*)(*)).).),((...)(((...)(...)).).),((...)??(...)(...)????),undesignable,0.0126,1,['((*)..(*)(*)....)']
(((.(.(*))).).),(((.(.(...))).).),(?????(...)?????),undesignable,13.7197,6,"['(.....(*).....)', '(((.(((*))).)))', '(((.(.(*).).)))', '(((..((*))..)))', '((..(((*)))..))', '(.(.(((*))).).)']"
(.(..(*)(*))(*).),(.(..(...)(...))(...).),(????(...)(...)?(...)?),undesignable,0.014,1,['(....(*)(*).(*).)']
(.(((*)..)(*).)),(.(((...)..)(...).)),(???(...)???(...)??),undesignable,0.1743,1,['(...(*)...(*)..)']
(.(..(*))((*))),(.(..(...))((...))),(????(...)??(...)?),undesignable,0.3662,1,['(....(*).((*)))']
(.(*)..(...)),(.(...)..(...)),(?(...)???????),undesignable,0.2989,1,['(.(*).......)']
(...(*)(...)..),(...(...)(...)..),(???(...)???????),undesignable,1.236,1,['(...(*).......)']
(((*)..(*).)..),(((...)..(...).)..),(?(...)??(...)????),undesignable,0.0017,1,['(.(*)..(*)....)']
((.(...))(*)),((.(...))(...)),(????????(...)),undesignable,0.0288,1,['(........(*))']
(.(...(*))...),(.(...(...))...),(?????(...)????),undesignable,0.0192,1,['(.....(*)....)']
((*)((*)(*)....)),((...)((...)(...)....)),((...)?(...)(...)?????),undesignable,0.0024,1,['((*).(*)(*).....)']
((...)(*)...),((...)(...)...),(?????(...)???),undesignable,0.0716,1,['(.....(*)...)']
(..(*).(...)),(..(...).(...)),(??(...)??????),undesignable,0.2924,1,['(..(*)......)']
(..((*))(..(*))),(..((...))(..(...))),(???(...)????(...)?),undesignable,0.3977,1,['(..((*))...(*).)']
(.(*)((*)(*)(*).)),(.(...)((...)(...)(...).)),(?(...)?(...)(...)(...)??),undesignable,0.004,1,['(.(*).(*)(*)(*)..)']
((..((*).(*).))),((..((...).(...).))),(????(...)?(...)???),undesignable,0.0149,1,['((...(*).(*)..))']
((..((*).(*))).),((..((...).(...))).),(????(...)?(...)???),undesignable,0.012,1,['(....(*).(*)...)']
